Date/Time,Lat,Lon,Base,locationID
2014-04-06 01:29:00,40.7284,-73.9997,B02682,
2014-04-01 20:08:00,40.7388,-73.9942,B02598,
2014-04-18 15:14:00,40.7211,-74.0048,B02512,
2014-04-09 23:34:00,40.7304,-73.9901,B02598,
2014-04-24 08:20:00,40.6673,-73.9878,B02598,
2014-04-04 17:53:00,40.7652,-73.9639,B02682,
2014-04-02 20:43:00,40.7254,-74.0092,B02598,
2014-04-14 16:28:00,40.7583,-73.9815,B02598,
2014-04-27 02:22:00,40.7439,-74.0083,B02682,
2014-04-27 21:17:00,40.7656,-73.9809,B02598,
2014-04-18 14:00:00,40.7614,-73.9677,B02682,
2014-04-29 23:09:00,40.7263,-73.9837,B02598,
2014-04-05 21:56:00,40.705,-73.9336,B02682,
2014-04-30 21:11:00,40.7469,-73.9808,B02598,
2014-04-15 21:18:00,40.7237,-73.9518,B02598,
2014-04-19 17:40:00,40.7343,-74.0028,B02682,
2014-04-11 17:16:00,40.7466,-73.9919,B02598,
2014-04-30 18:54:00,40.7513,-73.9735,B02682,
2014-04-06 00:52:00,40.7421,-73.9984,B02598,
2014-04-15 23:51:00,40.7198,-73.9942,B02512,
2014-04-17 14:33:00,40.7735,-73.9539,B02682,
2014-04-11 21:41:00,40.752,-73.993,B02682,
2014-04-16 20:13:00,40.7603,-73.9744,B02682,
2014-04-16 19:31:00,40.7553,-73.9842,B02598,
2014-04-07 14:43:00,40.6464,-73.7904,B02598,
2014-04-17 16:59:00,40.7589,-73.9728,B02512,
2014-04-18 09:28:00,40.7627,-73.9755,B02598,
2014-04-21 18:27:00,40.7457,-73.9459,B02617,
2014-04-24 07:24:00,40.7836,-73.9793,B02682,
2014-04-25 00:51:00,40.7178,-73.9971,B02598,
2014-04-27 16:14:00,40.7565,-73.9761,B02617,
2014-04-09 14:04:00,40.7242,-73.8196,B02682,
2014-04-05 20:09:00,40.7867,-73.9775,B02682,
2014-04-17 18:18:00,40.7655,-73.9626,B02682,
2014-04-11 23:54:00,40.7442,-73.9922,B02598,
2014-04-29 12:41:00,40.7287,-74.0071,B02598,
2014-04-17 10:18:00,40.7666,-73.9861,B02682,
2014-04-16 13:49:00,40.7685,-73.987,B02512,
2014-04-05 16:34:00,40.7394,-74.008,B02682,
2014-04-20 16:16:00,40.7218,-74.0025,B02682,
2014-04-26 22:00:00,40.7439,-74.0064,B02598,
2014-04-30 12:14:00,40.7987,-73.9416,B02512,
2014-04-17 06:22:00,40.761,-73.9733,B02682,
2014-04-25 07:49:00,40.7333,-73.9889,B02617,
2014-04-11 23:36:00,40.6868,-73.9457,B02682,
2014-04-15 21:07:00,40.7318,-73.9969,B02617,
2014-04-21 19:03:00,40.7579,-73.9733,B02682,
2014-04-24 19:53:00,40.7535,-73.9889,B02682,
2014-04-11 18:20:00,40.7653,-73.9618,B02617,
2014-04-18 11:50:00,40.7627,-73.9653,B02512,
2014-04-11 22:01:00,40.7361,-74.006,B02512,
2014-04-19 12:19:00,40.7261,-73.9918,B02512,
2014-04-10 19:50:00,40.7549,-73.994,B02617,
2014-04-01 07:17:00,40.7272,-73.9789,B02617,
2014-04-08 08:11:00,40.695,-74.1781,B02682,
2014-04-24 11:11:00,40.7625,-73.9786,B02617,
2014-04-11 01:09:00,40.7215,-73.9999,B02617,
2014-04-12 04:37:00,40.749,-73.9738,B02617,
2014-04-28 14:06:00,40.7518,-73.9726,B02764,
2014-04-15 06:41:00,40.7327,-73.9982,B02617,
2014-04-16 11:49:00,40.7516,-73.9902,B02617,
2014-04-11 10:09:00,40.6898,-73.9929,B02598,
2014-04-11 23:11:00,40.6943,-73.908,B02598,
2014-04-17 16:27:00,40.7297,-73.9916,B02598,
2014-04-25 07:12:00,40.7839,-73.9761,B02598,
2014-04-19 20:53:00,40.7527,-73.9717,B02617,
2014-04-24 07:26:00,40.7682,-73.9893,B02682,
2014-04-02 14:40:00,40.7216,-74.0009,B02598,
2014-04-26 20:44:00,40.7498,-74.0051,B02682,
2014-04-22 19:58:00,40.7144,-74.0154,B02682,
2014-04-08 12:43:00,40.7599,-73.9773,B02682,
2014-04-15 20:40:00,40.7294,-74.001,B02682,
2014-04-27 19:26:00,40.7383,-74.0039,B02598,
2014-04-25 19:35:00,40.7019,-73.9897,B02598,
2014-04-05 00:01:00,40.7109,-74.0078,B02682,
2014-04-29 22:32:00,40.6997,-73.9806,B02512,
2014-04-08 08:08:00,40.7708,-73.8657,B02682,
